DNW_Dose,PW_Dose,MeshScale,RadialPitch
3.15e17,5.95e17,0.4,0.205
3.15e17,5.95e17,0.4,0.210
3.15e17,5.95e17,0.4,0.215
3.15e17,5.95e17,0.4,0.220
3.15e17,5.95e17,0.4,0.225
3.15e17,5.95e17,0.4,0.230
3.15e17,5.95e17,0.4,0.235
3.15e17,5.95e17,0.4,0.240
3.15e17,5.95e17,0.4,0.245
3.15e17,5.95e17,0.4,0.250
3.15e17,5.95e17,0.4,0.255
3.15e17,5.95e17,0.4,0.260
3.15e17,5.95e17,0.4,0.265
3.15e17,5.95e17,0.4,0.275
3.15e17,5.95e17,0.4,0.280
3.15e17,5.95e17,0.4,0.285
3.15e17,5.95e17,0.4,0.290
3.15e17,5.95e17,0.4,0.295
3.15e17,5.95e17,0.4,0.300
3.15e17,5.95e17,0.4,0.305
3.15e17,5.95e17,0.4,0.310
3.15e17,5.95e17,0.4,0.315
3.15e17,5.95e17,0.4,0.320
3.15e17,5.95e17,0.4,0.325
3.15e17,5.95e17,0.4,0.330
3.15e17,5.95e17,0.4,0.335
3.15e17,5.95e17,0.4,0.340
3.15e17,5.95e17,0.4,0.345
3.15e17,5.95e17,0.4,0.350
3.15e17,5.95e17,0.4,0.355
3.15e17,5.95e17,0.4,0.360
3.15e17,5.95e17,0.4,0.365
3.15e17,5.95e17,0.4,0.370
3.15e17,5.95e17,0.4,0.375
3.15e17,5.95e17,0.4,0.380
3.15e17,5.95e17,0.4,0.385
3.15e17,5.95e17,0.4,0.390
3.15e17,5.95e17,0.4,0.395
3.15e17,5.95e17,0.4,0.400
3.15e17,5.95e17,0.4,0.405
3.15e17,5.95e17,0.4,0.410
3.15e17,5.95e17,0.4,0.415
3.15e17,5.95e17,0.4,0.420
3.15e17,5.95e17,0.4,0.425
3.15e17,5.95e17,0.4,0.430
3.15e17,5.95e17,0.4,0.435
3.15e17,5.95e17,0.4,0.440
3.15e17,5.95e17,0.4,0.445
3.15e17,5.95e17,0.4,0.450
3.15e17,5.95e17,0.4,0.455
3.15e17,5.95e17,0.4,0.460
3.15e17,5.95e17,0.4,0.465
3.15e17,5.95e17,0.4,0.470
3.15e17,5.95e17,0.4,0.475
3.15e17,5.95e17,0.4,0.480
3.15e17,5.95e17,0.4,0.485
3.15e17,5.95e17,0.4,0.490
3.15e17,5.95e17,0.4,0.495
3.15e17,5.95e17,0.4,0.500
3.15e17,5.95e17,0.4,0.505
3.15e17,5.95e17,0.4,0.510
3.15e17,5.95e17,0.4,0.515
3.15e17,5.95e17,0.4,0.520
3.15e17,5.95e17,0.4,0.525
3.15e17,5.95e17,0.4,0.530
3.15e17,5.95e17,0.4,0.535
3.15e17,5.95e17,0.4,0.540
3.15e17,5.95e17,0.4,0.545
3.15e17,5.95e17,0.4,0.550
3.15e17,5.95e17,0.4,0.555
3.15e17,5.95e17,0.4,0.560
3.15e17,5.95e17,0.4,0.565
3.15e17,5.95e17,0.4,0.570
3.15e17,5.95e17,0.4,0.575
3.15e17,5.95e17,0.4,0.580
3.15e17,5.95e17,0.4,0.585
3.15e17,5.95e17,0.4,0.590
3.15e17,5.95e17,0.4,0.595
3.15e17,5.95e17,0.4,0.600
3.15e17,5.95e17,0.4,0.605
3.15e17,5.95e17,0.4,0.610
3.15e17,5.95e17,0.4,0.615
3.15e17,5.95e17,0.4,0.620
3.15e17,5.95e17,0.4,0.625
3.15e17,5.95e17,0.4,0.630
3.15e17,5.95e17,0.4,0.635
3.15e17,5.95e17,0.4,0.640
3.15e17,5.95e17,0.4,0.645
3.15e17,5.95e17,0.4,0.650
3.15e17,5.95e17,0.4,0.655
3.15e17,5.95e17,0.4,0.660
3.15e17,5.95e17,0.4,0.665
3.15e17,5.95e17,0.4,0.670
3.15e17,5.95e17,0.4,0.675
3.15e17,5.95e17,0.4,0.680
3.15e17,5.95e17,0.4,0.685
3.15e17,5.95e17,0.4,0.690
3.15e17,5.95e17,0.4,0.695
3.15e17,5.95e17,0.4,0.700
3.15e17,5.95e17,0.4,0.705
3.15e17,5.95e17,0.4,0.710
3.15e17,5.95e17,0.4,0.715
3.15e17,5.95e17,0.4,0.720
3.15e17,5.95e17,0.4,0.725
3.15e17,5.95e17,0.4,0.730
3.15e17,5.95e17,0.4,0.735
3.15e17,5.95e17,0.4,0.740
3.15e17,5.95e17,0.4,0.745
3.15e17,5.95e17,0.4,0.750
3.15e17,5.95e17,0.4,0.755
3.15e17,5.95e17,0.4,0.760
3.15e17,5.95e17,0.4,0.765
3.15e17,5.95e17,0.4,0.770
3.15e17,5.95e17,0.4,0.775
3.15e17,5.95e17,0.4,0.780
3.15e17,5.95e17,0.4,0.785
3.15e17,5.95e17,0.4,0.790
3.15e17,5.95e17,0.4,0.795
3.15e17,5.95e17,0.4,0.800
3.15e17,5.95e17,0.4,0.805
3.15e17,5.95e17,0.4,0.810
3.15e17,5.95e17,0.4,0.815
3.15e17,5.95e17,0.4,0.820
3.15e17,5.95e17,0.4,0.825
3.15e17,5.95e17,0.4,0.830
3.15e17,5.95e17,0.4,0.835
3.15e17,5.95e17,0.4,0.840
3.15e17,5.95e17,0.4,0.845
3.15e17,5.95e17,0.4,0.850
